fecha,australianos
1971.25,13067.3
1971.5,13130.5
1971.75,13198.4
1972.0,13254.2
1972.25,13303.7
1972.5,13353.9
1972.75,13409.3
1973.0,13459.2
1973.25,13504.5
1973.5,13552.6
1973.75,13614.3
1974.0,13669.5
1974.25,13722.6
1974.5,13772.1
1974.75,13832.0
1975.0,13862.6
1975.25,13893.0
1975.5,13926.8
1975.75,13968.9
1976.0,14004.7
1976.25,14033.1
1976.5,14066.0
1976.75,14110.1
1977.0,14155.6
1977.25,14192.2
1977.5,14231.7
1977.75,14281.5
1978.0,14330.3
1978.25,14359.3
1978.5,14396.6
1978.75,14430.8
1979.0,14478.4
1979.25,14515.7
1979.5,14554.9
1979.75,14602.5
1980.0,14646.4
1980.25,14695.4
1980.5,14746.6
1980.75,14807.4
1981.0,14874.4
1981.25,14923.3
1981.5,14988.7
1981.75,15054.1
1982.0,15121.7
1982.25,15184.2
1982.5,15239.3
1982.75,15288.9
1983.0,15346.2
1983.25,15393.5
1983.5,15439.0
1983.75,15483.5
1984.0,15531.5
1984.25,15579.4
1984.5,15628.5
1984.75,15677.3
1985.0,15736.7
1985.25,15788.3
1985.5,15839.7
1985.75,15900.6
1986.0,15961.5
1986.25,16018.3
1986.5,16076.9
1986.75,16139.0
1987.0,16203.0
1987.25,16263.3
1987.5,16327.9
1987.75,16398.9
1988.0,16478.3
1988.25,16538.2
1988.5,16621.6
1988.75,16697.0
1989.0,16777.2
1989.25,16833.1
1989.5,16891.6
1989.75,16956.8
1990.0,17026.3
1990.25,17085.4
1990.5,17106.9
1990.75,17169.4
1991.0,17239.4
1991.25,17292.0
1991.5,17354.2
1991.75,17414.2
1992.0,17447.3
1992.25,17482.6
1992.5,17526.0
1992.75,17568.7
1993.0,17627.1
1993.25,17661.5
