altura,peso,ingreso,horas_trabajadas,ausencias
134.433878,70.61786385,9973.577534,40.90547645,4
167.1587463,109.2682953,8961.047249,41.57648349,4
141.4808116,81.0346435,7437.977263,41.36923875,5
123.2271185,57.88417185,12064.91529,41.53721065,3
143.5549514,93.5810935,9296.396167,40.44120331,4
191.2100431,130.4609162,11666.08726,41.14248397,3
179.7988617,118.1605923,9517.651813,40.6538416,4
146.7240901,74.12433687,7529.944441,41.10474124,5
178.2298507,116.0555201,11934.46147,41.16330439,3
160.4856046,105.8639882,10002.62326,41.99282312,4
177.9266366,108.7532293,9108.724524,40.81829105,4
115.1920269,35.67743241,10143.32352,41.79740894,4
153.8773794,84.46690529,10704.29149,41.54968908,3
122.8301029,46.98619743,10054.43389,41.94595668,4
153.5718703,82.23244812,16550.69988,42.25682698,0
180.7153262,133.8811002,6215.086309,41.42071574,5
185.3180466,121.7907377,7875.498898,41.11936055,5
162.8917493,88.12915248,10733.61264,41.43981372,3
169.0954282,92.17485505,10551.84896,40.81609424,3
155.1976629,110.5094753,12831.64291,42.05745525,2
146.8563154,83.26037193,5042.026418,41.22442225,6
160.7408904,98.92310445,11546.3496,42.12842578,3
155.4074863,92.23041398,10506.08741,41.02596417,3
153.0347624,77.83230913,15335.20661,41.83003331,1
139.1944737,78.3032294,8892.001955,41.53446874,4
185.6519985,125.0513629,8083.690912,41.19208408,5
180.4121437,125.873013,7095.116109,41.0608824,5
107.8515507,33.09283822,9850.52026,41.36639293,4
123.3002021,58.79147539,9953.525773,40.97357054,4
162.6702601,81.73393373,11112.12012,41.434279,3
142.39919,78.0336095,9074.811772,40.19363772,4
146.0191838,79.03689336,5426.205314,40.81339645,6
114.5851458,34.04474,7686.794434,40.81883683,5
129.3595117,63.60353615,10266.47204,41.32268672,3
168.7135508,112.7371172,5685.523789,39.96872157,6
154.768471,79.244389,14402.464,42.166788,1
166.078186,101.6092381,9628.814396,41.46597297,4
155.3804275,85.50989866,10604.28952,40.96627782,3
151.5769832,90.61869511,10191.24051,40.61438484,4
175.9603252,103.1374917,10461.69193,41.28975014,3
152.9534954,81.10484609,12188.84418,41.6577266,3
152.3279382,99.41384873,10773.7327,41.09909329,3
158.3418287,83.79807902,11481.61654,42.75641196,3
168.5027583,94.33078817,17661.02308,41.83140068,0
143.0172217,93.63823887,12019.64756,41.43067502,3
138.6055062,69.82094543,9283.261684,41.28552941,4
155.1049393,79.15657352,8633.691315,41.51229871,4
115.5555632,52.71145211,11582.63781,41.16663346,3
170.0928857,99.50560494,7443.537097,40.66655559,5
152.4107591,92.04990531,8415.652695,41.34647511,4
153.4651097,96.93592209,8568.203258,40.94763669,4
111.1736232,45.20615457,8697.827987,41.17207269,4
172.3997062,112.8968513,6084.931971,41.01356199,6
132.5417235,69.21627955,5299.60292,40.35989775,6
159.3637827,106.4649771,4747.021003,40.61402673,6
169.3429695,103.4186613,10102.81277,41.10776311,4
155.7471516,87.56145816,11288.66334,40.95142414,3
141.7163847,73.67923625,15088.92619,41.62206883,1
149.2155633,78.75455565,5396.852697,40.56645833,6
186.3190352,129.9105744,11789.29057,41.70699441,3
147.5838729,91.87044731,8568.574217,41.20354669,4
135.5349817,77.7970657,8067.24774,41.23467156,5
155.7059269,72.4320126,8024.131904,40.79539435,5
113.2068322,49.40266251,11324.17402,40.59593712,3
104.01029,35.63152056,7982.813888,40.53339933,5
159.4265587,103.2910516,8835.495656,41.01008843,4
167.4764813,112.3358449,15387.14081,41.6595618,1
151.0480674,90.58148475,8497.312386,41.63963634,4
137.8416279,68.5267087,9738.75136,41.14206543,4
159.950715,104.7448582,10086.94722,41.54927379,4
122.9274688,59.31846009,9117.732304,40.76366112,4
136.4251311,69.78709201,8480.367085,41.11279162,4
164.5099049,91.55470035,9665.570122,41.26189886,4
148.9358038,71.72311145,10841.51857,41.18061986,3
143.5405725,80.08993452,13153.12132,41.86710412,2
155.4976833,101.6236019,14843.24934,42.15505574,1
121.1037021,52.7358632,8779.194125,40.52339701,4
166.0268762,100.4999943,9625.302356,41.36127954,4
124.5992249,61.02312446,12076.53805,41.76072701,3
165.3093359,98.82154518,10511.92843,41.52358043,3
147.6677133,74.29224581,5387.057935,40.97372652,6
149.953758,84.19150908,13953.91379,42.04215649,2
145.9005084,90.43513492,12350.7032,41.49624041,2
131.2931027,61.83371535,9804.832873,41.13111402,4
122.7597005,59.72989447,5529.740085,40.53647707,6
116.2664407,54.94752835,11287.66762,40.66867814,3
142.5034513,76.38109329,13977.1749,41.56361545,2
162.4145438,92.18667933,7375.862502,41.11560747,5
171.3070415,120.0299304,9716.705399,41.39178286,4
136.7666323,71.23430476,7262.032643,41.84852539,5
191.9203236,115.0964661,12149.40423,41.56636717,3
175.5568483,100.4365786,11331.60587,41.37348878,3
151.7841542,88.71913148,11133.44766,41.30282746,3
148.4206281,79.56937304,12014.15682,41.88902453,3
182.415283,115.651086,9022.064498,41.06701379,4
179.6564826,117.267626,18624.0598,42.50000237,-1
